Course Code,Course Name,Instructor Name
EE 746,Neuromorphic Engineering  ,Veeresh Vidyadhar Deshpande
EE 747,Simulation of Power System Transients ,
EE 748,Advanced Topics in Computer Architecture ,Virendra Singh
EE 749,Decentralized Control of Complex Systems ,
EE 750,Digital Signal Processing - System Design and Implementation ,
EE 751,Nanomagetism and Spintronics ,Debanjan  Bhowmik
EE 753,High Power Converters and their Utility Applications ,
EE 755,Quantum Transport in Nanoscale Devices ,
EE 757,Crystalline Silicon Solar Cells: Theory and Practice ,
EE 758,Internet Economics ,
EE 759,Applied Mathematical Analysis in Engineering ,
EE 760,Advanced Network Analysis ,
EE 761,Advanced Concentration Inequalities ,
EE 763,"Science of Information, Statistics, and Learning ",
EE 764,Wireless & Mobile Communication ,
EE 765,Reliability and Failure Analysis of Electronic Devices ,Narendra Shiradkar
EE 766,Random Graphs : Theory and Applications ,
EE 767,Photonics System Engineering ,
EE 768,Electric Distribution Systems ,
EE 769,Introduction to Machine Learning ,Amit Sethi
EE 770,Design and Evaluation of Photovoltaic Power Plants ,
EE 771,Recent Topics in Analytical Signal Processing ,
EE 774,Computational Techniques in Electrical Engineering ,
EE 777,Network Security ,
EE 779,Advanced Topics in Signal Processing ,
EE 780,Terahertz : Technology & Applications ,
EE 781,Integrated Circuit  Design for Sensor Systems ,
EE 782,Advanced Topics in Machine Learning ,
EE 783,Advanced Semiconductor Devices Lab ,
EE 784,2D Materials and Devices ,
EE 785,Electromagnetic Interference and Compatibility ,Kushal R. Tuckley
EE 786,"Developments, Trends and Economic Frontiers in EE ",
EE 787,Topological Electronics ,Ashwin TulapurkarBhaskaran Muralidharan
EE 788,Advanced CMOS Logic and Flash Memory  Devices ,Souvik Mahapatra
EE 789,Algorithmic Design of Digital Systems ,
EE 790,Solar Photovoltaics: Photons to Farms ,
EE 791,Power Electronic Converters for Renewable Energy ,
EE 792,Communication Skills -II ,
EE 793,Topics in Cryptology ,
EE 794,Microsystems: Analysis and Design ,
EE 795,I Stage Project ,
EE 797,I Stage Project ,
EE 798,II Stage Project ,
EE 799,Advanced Antennas ,
EE 800,High Speed Interconnects: Signaling and Synchronization ,S.Gupta
EE 899,Communication Skills ,Prashant NavalkarSandip  MondalSwaroop Ganguly
EEP602,II stage project ,
EEP603,III stage project ,
EES401,Seminar ,
EES801,Seminar ,Pillai Harish
EN 101,Introduction to Energy ,
EN 102,Energy Engineering Fundamentals ,
EN 110,Energy Engineering Fundamentals ,Bandyopadhyay Santanu
EN 203,Thermodynamics and Energy Conversion ,Lalit Kumar
EN 204,Material Science for Energy Applications ,K.R. Balasubramaniam
EN 205,Basic Electrical Engineering Lab ,
EN 207,Data Analysis and Interpretation ,
EN 209,Basic Electrical & Electronics Engineering ,
EN 211,Mechanics of Materials ,
EN 212,Electrical Machines ,
EN 213,Electrical Networks and Machines ,D. SuryanarayanaRavi Prakash Reddy  Siddavatam
EN 214,Transport Phenomena ,
EN 216,Renewable Energy Technologies ,
EN 218,"Energy Resources, Economics & Environment ",
EN 220,Reactions for Energy ,
EN 222,Fluid Mechanics and Heat Transfer ,
EN 224,Electrical Networks and Machines Lab ,
EN 226,Energy Conversion Lab ,
EN 301,Introduction to Renewable Energy Technologies ,
EN 302,Power Generation and System Planning ,
EN 304,Electrical Energy Systems ,
EN 308,Solar Energy Lab ,
EN 309,Thermal & Fluid Engineering Lab ,Manaswita Bose
EN 310,IC Engine and Combustion Lab ,
EN 312,Control & Instrumentation ,
EN 313,Power Electronics ,
EN 314,Electrochemistry ,
EN 315,Reaction Engineering & Combustion ,
EN 317,Thermo-Fluid Devices ,
EN 319,Electrical Machines & Power Electronics Lab ,
EN 323,Renewable Energy Generation and Storage ,Sagar Mitra
EN 325,Dynamics and Control ,Venkatramanan  D.
EN 327,Power Electronics and Instrumentation Lab ,Ravi Prakash Reddy  SiddavatamVenkatramanan  D.V.S.S. Pavan Kumar Hari
EN 401,Energy Systems modelling and analysis ,Venkatasailanathan RamadesiganV.S.S. Pavan Kumar Hari
EN 405,Energy Innovation Lab ,Sandeep Kumar
EN 406,Seminar ,Gurubalan  Annadurai
EN 407,Chemistry for Energy Science ,Sankara Sarma V. Tatiparti
EN 408,Energy design project ,
EN 409,Mathematical Foundation for Energy Science ,Pratibha  Sharma
EN 410,Energy Management ,
EN 411,Physics for Energy Science ,Karthik  Sasihithlu
EN 412,Thermodynamics and Statistical Mechanics ,
EN 413,Materials Science for Energy ,Shaibal Sarkar
EN 414,Methods in Analytical Techniques ,
EN 415,Energy Laboratory I ,Lalit Kumar
EN 416,Basics of Electrical and Electronic Systems ,
EN 417,Computer Programming ,Dayadeep S. Monder
EN 418,Introduction to Transport Phenomena ,
EN 420,Energy Laboratory II ,
EN 422,Seminar ,
EN 593,Dual Degree Project I ,
EN 601,Nonconventional Energy Sources ,P.C.Ghosh
EN 602,Foundation for Energy Engineering ,D. SuryanarayanaManaswita Bose
EN 604,Fuel Cells ,
EN 606,"Energy Resources, Economics and Environment ",Sandeep Kumar
EN 607,Energy Management ,
EN 609,Energy Systems Laboratory ,Gurubalan  Annadurai
EN 610,Hydrogen Energy ,
EN 612,Non-conventional Energy Systems Lab. ,
EN 613,Nuclear Reactor Theory ,
EN 615,Wind Energy Conversion Systems ,
EN 616,Direct Energy Conversion ,
EN 617,Thermodynamic Analysis of Industrial Systems ,
EN 618,Energy Systems Modelling & Analysis ,Seethamraju Srinivas
EN 619,Solar Energy for Industrial Process Heat ,
EN 624,Conservation of Energy in Buildings ,Gurubalan  Annadurai
EN 628,Materials and Devices for Energy Applications ,
EN 630,Utilisation of Solar Thermal Energy ,
EN 632,Waste to Energy ,
EN 634,Nuclear Reactor Thermal Hydraulics & Safety ,
EN 637,Principles and Applications of Hydrogen storage ,
EN 639,Renewable Energy Integration ,
EN 640,"Solar Photovoltaic, Fundamentals, Technologies and Applications ",
EN 642,Power Generation and Systems Planning ,
EN 645,Process Integration ,
EN 646,Energy and Climate ,
EN 647,Distributed Generation and Microgrids ,
EN 648,Combustion Engineering ,
EN 649,Introduction to Particulate Flow ,
EN 651,Multiphase Petroleum Transportation ,
EN 653,Energy Policy Analysis ,
EN 655,Energy Laboratory III ,Anish Modi
EN 657,"IC Engine, Alternate Fuels and Emissions ",Asish  Sarangi
EN 658,Electrochemical Energy Storage ,
EN 659,Energy Efficient Industrial Drives ,
EN 660,Diffraction-based Characterization of Energy Materials ,
EN 661,Micro and Nanoscale Energy	Transport ,
EN 691,M.Sc.-Ph.D. Project I ,Karthik  Sasihithlu
EN 692,M.Sc.-Ph.D. Project II ,
EN 693,M.Sc.-Ph.D. Project III ,
EN 694,Seminar ,Venkatramanan  D.
EN 703,Advanced Concepts in Solar Cell Technologies ,Rajesh Gupta
EN 705,An Introduction to Energy Systems Engineering ,
EN 792,Communication Skills -II ,
EN 797,I Stage Project ,
EN 798,II Stage Project ,
EN 899,Communication Skills ,Anish Modi
ENS801,Seminar ,Dayadeep S. Monder
ENT601,Intellectual Property for Entrepreneurs ,
ENT602,Technology Venture Creation ,Milind  KopikareSankalp  Pratap
ENT603,Introduction to Entrepreneurship ,Anuradha  NarasimhanRajkumar R. Hirwani
ENT604,Marketing for Entrepreneurs ,
ENT605,Business Fundamentals for Technopreneurs ,
ENT606,Developing a Proof of Concept- Basic ,
ENT607,Managing Technological Innovation ,
ENT899,Communication Skills ,Lina Elisabeth Sonne Vyas
EP 201,Optics ,
EP 207,Introduction to Special Theory of Relativity ,
EP 209,Thermal Physics ,
EP 213,Physics Laboratory I ,
EP 214,Physics Laboratory II ,
EP 215,Electronics Laboratory I ,
EP 216,Electronics Laboratory II ,
EP 219,Data Analysis and Interpretation ,
EP 220,Computational Methods ,
EP 222,Classical Mechanics I ,
EP 223,Electronics Lab II ,
EP 226,Waves & Oscillations & Thermodynamics ,
EP 228,Quantum Mechanics I ,
EP 230,Electronics Lab III ,
EP 307,Quantum Mechanics I ,
EP 309,Photonics ,
EP 312,Physics Laboratory IV ,
EP 313,Physics Laboratory III ,
EP 315,Electronics Lab III (Microprocessor Lab)  ,
EP 317,Electronics Laboratory-IV(Digital Laboratory) ,
EP 318,Electronics Lab. IV ,
EP 320,Statistical Physics ,
EP 322,Supervised Learning ,
EP 323,Classical Mechanics II ,
EP 388,Practical Training ,
EP 396,Works Visits ,
EP 397,Seminar ,
EP 405,Methods in Analytical Techniques ,
EP 409,Applied Solid State Physics ,
EP 411,Analytical Techniques ,
EP 412,"Nanomaterials, Nanostructures & Nanofabrication ",
EP 413,Advanced Statistical Mechanics ,
EP 425,Introduction to Nanoscience and Nanotechnology ,
EP 431,Semiconductor Physics ,
EP 432,Physics of Nanostructures and nanoscale Devices ,
EP 439,Advanced Laboratory Techniques  in Nanosience ,
EP 497,B.Tech. Project I ,
EP 498,B.Tech. Project II ,
HS 001,English ,
HS 002,English ,
HS 101,Economics ,
HS 102,History of Economic Analysis ,
HS 200,Environmental Studies ,Haripriya GundimedaIlito H. AchumiRatikanta Panda
HS 210,Intermediate Microeconomics II ,
HS 212,Intermediate Macroeconomics II ,
HS 214,Statistics II ,
HS 216,Money and Banking ,
HS 221,Intermediate Microeconomics I ,
HS 223,Intermediate Macroeconomics-I ,
HS 225,Mathematics for Economics ,
HS 227,Statistics I ,
HS 250,Environmental Studies ,Haripriya GundimedaIlito H. AchumiRatikanta Panda
HS 302,International  Economics II ,
HS 303,Psychology ,
HS 304,Development Economics II ,
HS 305,Reading Literature ,
HS 306,Econometrics I ,
HS 307,Sociology ,Mahendra Dindayal Shahare
HS 308,Econometrics I Lab ,
HS 311,International Economics I ,
HS 313,Development Economics I ,
HS 315,Public Finance ,
HS 402,Game Theory and Economic Analysis ,
HS 405,Econometrics II ,
HS 406,Philosophy of Technology ,
HS 407,Econometrics II Lab ,
HS 411,Indian Economy ,
HS 412,Social Movement and Social Change: Contemporary Reflections ,
HS 414,"Justice, Ethics and Community ",
HS 418,Human Cognitive Processes ,
HS 420,Philosophy of Mind ,
HS 423,Trends in Twentieth Century Drama ,
HS 429,Sociology of Science ,
HS 431,Reading Fiction ,
HS 440,Industrial Economics ,
HS 443,Philosophy and History of Science ,Vikram Singh Sirola
HS 452,Economic Reforms in India ,
HS 454,Principles of Management and Organisational Behaviour ,
HS 456,Understanding Creativity and Creative Writing ,
HS 457,Managerial Economics ,
HS 466,Introduction to Linguistics ,
HS 467,Indian Philosophy ,Ratikanta Panda
HS 468,Philosophy of Religion ,
HS 472,Psychology of Health ,
HS 474,Postmodernism and Philosophy ,
HS 476,Culture and Media ,
HS 478,Industrial Sociology ,
HS 485,Management of Human Resources in Organizations ,
HS 487,Planning and Economic Policies in India ,
HS 491,Contemporary Urban India; Sociological Perspective ,Kushal Deb
HS 495,BS Project Stage I ,
HS 496,Globalization: A Social Perspective ,
HS 497,BS Project Stage II ,
HS 498,Life Span Development : Infancy to Old Age ,
HS 501,Vedanta Philosophy in the Vedic Tradition ,Mrinal  Kaul
HS 502,Madhyamika Philosophy in the Buddhist Tradition ,
HS 503,Philosophy in the Age of the Greeks ,Pravesh Jung Golay
HS 504,Western Philosophy in the Time of Crisis ,
HS 505,Western Philosophy and the Advent of Modern Science ,R.K. Panda
HS 506,Writing and Research in Philosophy ,
HS 507,Vedanta Philosophy in the Vedic Tradition ,
HS 551,Introduction to Feminist Philosophy ,
HS 556,Sankhya Philosophy ,C.D. Sebastian
HS 597,Project Stage I ,R.K. Panda
HS 598,Project Stage II ,
HS 601,Development in South Asia: Issues & Debates ,
HS 602,Science & Technology in India ,
HS 603,Socio-Psychological Perspectives in Development & Change ,
HS 605,Research Methods in Social Sciences ,
HS 606,Environmental Planning Development ,
HS 607,Human Resources Development ,
HS 609,Public Administration for Development ,
HS 610,Cost Benefit Analysis ,
HS 611,Financing Economic Development ,
HS 613,Information Integrity ,
HS 615,Computer Aided Applied Statistics ,
HS 618,Introduction to Indian Astronomy ,
HS 619,Human Development : A Psychological Perspective ,
HS 620,Linguistics and Natural Language Processing ,
HS 621,Contemporary Indian Philosophy ,
HS 622,Philosophy of Development ,
HS 623,Problems in Social Ethics ,Siby K.George
HS 624,Contemporary Issues in Philosophy of Mind ,
HS 625,Philosophy of Education ,
HS 626,Framing Caste ,Suryakant Waghmore
HS 627,Development of Calculus: Indian and Western Context ,
HS 629,Ecology and Society ,
HS 631,Financial Economics ,
HS 632,Making Choices : Ethical Decisions in Scientific Endeavour ,
HS 633,Economtrics of Programme Evaluation ,
HS 634,Theories of Verbal Congnition (Shaabdabodha) ,
HS 635,Managerial Psychology ,
HS 636,Development of Mathematics in India ,K. Ramasubramanian
HS 637,Anthropology  and  Disaster ,
HS 640,Civil Society: Its Foundations and Future ,
HS 645,Fundamentals of Language ,
HS 646,Understanding the Past ,Rachel A. Varghese
HS 647,Social Theory - I ,Anush Kapadia
HS 648,Literary Studies ,Suddhaseel Sen
HS 650,Research Methods: Expository Writing & Analysis ,Suddhaseel Sen
HS 651,Research Methods: Critical Reading ,A.P. Rajaram  
HS 652,Research Methods: Qualitative Methods ,Raile Rocky Ziipao
HS 653,Research Methods : Sources and Methods and the Past ,Neha  Chatterji
HS 668,Studying Literature ,
HS 669,Studying Performance ,
HS 670,Studying Media ,
HS 671,"Historicising Society, State and Culture ",
HS 672,From the ground up: Basics of History and Archaeology ,
HS 674,Fundamentals of Language Science ,
HS 691,Field Visit ,
HS 693,R & D Project ,
HS 694,Seminar ,
HS 698,III Stage Project ,
HS 699,Communication and Presentation Skills ,
HS 700,Applied Economics ,
HS 702,"Law, Governance, Rights and Development ",
HS 704,Engendering Development Theory and Practice ,
HS 705,Historical Linguistics ,
HS 706,Classical Indian Thought in Modern Times ,
HS 710,Consumer Psychology ,
HS 712,Research Project -I ,Suryakant Waghmore
HS 713,Research Project -II ,
HS 791,Communication Skills -I ,
HS 792,Communication Skills -II ,
HS 795,I Stage Project ,
HS 796,II Stage Project ,
HS 797,I Stage Project ,
HS 798,II Stage Project ,
HS 800,Research Methods in Social Sciences ,Sarmistha Pattanaik
HS 801,Statistical Methods ,
HS 802,Advanced Economic Theory ,
HS 803,Advanced Psychological Theory ,A. KhanMrinmoyi KulkarniPooja PurangRashmi Gupta
HS 804,Advanced Theory of Society ,
HS 805,Theory of Knowledge ,
HS 806,Contemporary Trends in Philosophical Analysis ,Rajkishore Nath
HS 807,Phenomenology and Existentialism ,
HS 808,Philosophy of Language ,
HS 809,Practice and Theory of  Literary Research ,Paulomi Chakraborty
HS 810,A Survey of Modern and Post Modern Literature ,
HS 811,Literary Theory ,
HS 813,"Structure of Language & its applications, Morphophonology and ELT	 ",Sarma Vaijayanthi
HS 814,"Architecture of Grammer & its applications, Syntax Semantics and Sociolinguistics ",
HS 815,Languages in Cognitive Science ,Sarma Vaijayanthi
HS 818,Sociology of Social Stratification in India ,
HS 820,Research Methods in Economics ,
HS 821,Applied Econometrics ,
HS 823,Logic: Formal and Philosophical ,
HS 824,Cultural Studies ,
HS 825,Gender Studies ,
HS 828,Phillosophical Points of View & Major Thinkers ,
HS 833,Community Psychology and its Social Impact ,
HS 836,Linguistics and Literary Analysis ,
HS 837,Aesthetics and Criticism ,
HS 839,Major Issues in Economic Development ,
HS 840,Paninian Grammar ,
HS 842,Philosophy of Language in Sanskrit Literature ,
HS 843,Vedanta Philosophy ,
HS 844,Ethics:  Theory and Practic ,
HS 845,Indian Logic ,
HS 846,Advanced Course on Postcolonial Theory ,
HS 847,Algorithms in Indian Astronomy ,
HS 899,Communication Skills ,Amrita BanerjeeArun A. IyerK. RamasubramanianMrinmoyi KulkarniNeha  ChatterjiRamesh BairySharmila
HSS801,Seminar ,Siby K.George
HSS802,Seminar ,
MA 001,Preparatory Mathematics I ,
MA 002,Preparatory Mathematics II ,
MA 101,Introductory Mathematics ,
MA 103,Mathematics I ,
MA 104,Mathematics II ,
MA 105,Calculus ,Manoj Kumar keshariSwapneel A. Mahajan
MA 106,Linear Algebra ,
MA 107,An Introduction to Mathematical Concepts ,
MA 108,Differential Equations ,
MA 109,Calculus I ,Manoj Kumar keshariSwapneel A. Mahajan
MA 110,Linear Algebra and Differential Equations ,
MA 111,Calculus II ,Manoj Kumar keshariSwapneel A. Mahajan
MA 113,Mathematics and Its History ,Madhusudan Manjunath
MA 114,An Introduction to Mathematical Concepts ,Ronnie M. Sebastain
MA 203,Mathematics III ,
MA 204,Complex Analysis and Partial Differential Equation ,
MA 205,Complex Analysis ,
MA 207,Differential Equations II ,
MA 210,Introduction to Numerical Methods ,
MA 212,"Probability, Random Process and Statistical Inference ",
MA 214,Introduction to Numerical Analysis ,
MA 401,Linear Algebra ,Bata K. Das
MA 402,Algebra -I ,
MA 403,Real Analysis ,Santanu DeySourav Pal
MA 404,Real Analysis II ,
MA 405,Basic Algebra ,
MA 406,General Topology ,
MA 408,Measure Theory ,
MA 410,Multivariable Calculus ,
MA 411,Introduction to Probability ,
MA 412,Complex Analysis ,
MA 414,Algebra I ,
MA 415,Mathematical Methods ,
MA 416,Mathematical Methods I ,
MA 417,Ordinary Differential Equations ,Saikat  Mazumdar
MA 419,Basic Algebra ,Preeti RamanPuthenpurakal J Tony
MA 420,Principles of Optimization ,
MA 422,Probability Theory ,
MA 424,Theory of Sampling ,
MA 436,Partial Differential Equations ,
MA 438,Introduction to Mathematical Statistics ,
MA 444,Numerical Analysis ,
MA 446,Complex Analysis ,
MA 448,Multivariable Calculus ,
MA 450,Independent Study ,
MA 501,Algebra II ,
MA 502,Algebraic Number Theory ,
MA 503,Functional Analysis ,Chandan  Biswas
MA 504,Operators on Hilbert Spaces ,
MA 505,Algebra II ,
MA 506,Commutative Algebra ,
MA 507,Convex Analysis and Optimization ,
MA 508,Mathematical Methods ,
MA 509,Elementary Number Theory ,
MA 510,Introduction to Algebraic Geometry ,
MA5109,Graph Theory ,
MA 511,Enumerative Combinatorics I ,
MA 512,Enumerative Cimbinatiorics II ,
MA 513,Fourier Analysis ,
MA 514,Locally Convex Spaces and Distribution Theory ,
MA 515,Partial Differential Equations ,Harsha  Hutridurga Ramaiah
MA 516,Algebraic Topology ,
MA 517,Operators on Hilbert Spaces ,
MA 518,Spectral Approximation ,
MA 519,Representation Theory of Finite Groups ,
MA 520,Spline Theory and Variational Methods ,
MA 521,Theory of Analytic Functions ,Garge Shripad M.
MA 522,Fourier Analysis and Applications ,
MA 523,Basic Number Theory ,
MA 524,Algebraic Number Theory ,
MA 525,Dynamical Systems ,
MA 526,Commutative Algebra ,
MA 527,Topics in Approximation Theory ,
MA 529,Numerical Methods for Partial Differential Equatio ,
MA 530,Nonlinear Analysis ,
MA 532,Analytic Number Theory ,
MA 533,Advanced Probability Theory ,
MA 534,Modern Theory of PDE ,
MA 538,Representation Theory of Finite Groups ,
MA 539,Spline Theory and Variational Methods ,
MA 540,Numerical Methods for Partial Differential Equations ,
MA 543,Finite Element Methods and Applications ,
MA 548,Non-Newtonian Fluid Mechanics ,
MA 551,Numerical Analysis II ,
MA 556,Differential Geometry ,
MA 559,Functional Analysis ,
MA 561,Abstract Measure and Integration ,
MA 562,Mathematical Theory of Finite Elements ,
MA 567,Compressible Fluid Flow ,
MA 568,Functional Analysis II ,
MA 569,Computational Commutative Algebra and Algebraic Ge ,
MA 570,Design and Analysis of Experiments ,
MA 572,Non-paramatic Statistical Inference ,
MA 573,Mathematical Theory of Reliability ,
MA 574,Generalized Linear Models ,
MA 575,Multivariate Analysis ,
MA 576,Statistical Decision Theory ,
MA 577,Statistical Inference I ,
MA 579,Stochastic Processes ,
MA 580,Time Series Analysis ,
MA 581,Elements of Differential Topology ,Sudarshan Gurjar
MA 582,Basic Algebraic Topology ,
MA 583,Introduction to Continuum Mechanics ,
MA 585,Seminar ,
MA 587,Lie Groups and Lie Algebras ,
MA 588,Computational Finance ,
MA 589,M.Sc. Project Stage I ,
MA 590,Fluid Dynamics ,
MA 591,Algebraic Geometery II ,
MA 592,Non-linear Wave Phenomena ,
MA 593,Optional Project I ,
MA 594,Stochastic Calculus with Applications to Finance ,
MA 597,Project Stage I ,
MA 598,Optional Project  II ,
MA 599,M.Sc. Project Stage II ,
MA 603,Statistical Methods of Analysis and Design ,
MA 811,Algebra I ,U.K.Anandavardhanan
MA 812,Algebra II ,
MA 813,Measure Theory ,Mallesham  Kummari
MA 814,Complex Analysis ,
MA 815,Differential Topology ,Ravi Raghunathan
MA 816,Algebraic Topology ,
MA 817,Partial Differential Equations I ,Debanjana  Mitra
MA 818,Partial Differential Equations II ,
MA 819,Weak Convergence and Martingale Theory ,
MA 820,Stochastic Processes ,
MA 821,Theory of Estimation ,
MA 822,Testing of Hypothesis ,
MA 824,Functional Analysis ,
MA 825,Algebra ,
MA 826,Topology ,
MA 827,Analysis I ,
MA 828,Functional Analysis ,
MA 829,Mathematical Methods ,
MA 830,Numerical Analysis ,
MA 831,Fluid Mechanics ,
MA 832,Elasticity ,
MA 833,Weak Convergance and Martingale Theory ,
MA 834,Theory of Testing of Hypotheses ,
MA 835,Theory of Estimation ,
MA 836,Asymptotic Theory of Statistical Inference ,
MA 837,Special Topics in Mathematics I ,
MA 838,Special Topics in Mathematics II ,
MA 842,Topics in Algebra II ,
MA 843,Topics in Analysis I ,Mayukh  Mukherjee
MA 844,Topics in Analysis II ,
MA 846,Topics in Combinatories II ,
MA 848,Topics in Geometry II ,
MA 850,Topics in Topology II ,
MA 852,Topics in Number Theory II ,
MA 854,Topics in Differential Equations II ,
MA 856,Topics in Numerical Analysis II ,
MA 858,Topics in Probability II ,
MA 860,Topics in Statistics II ,
MA 861,Combinatorics I ,K. Sivasubramanian
MA 899,Communication Skills ,Ghorpade S.R.
MAS801,Seminar ,Rekha Santhanam
MAS802,Seminar ,
ME 103,Mechanical Department Introductory Course I ,Neeraj Kumbhakarna
ME 104,Engineering Mechanics ,
ME 112,Workshop Practice II ,
ME 113,Workshop Practice ,
ME 119,Engineering Graphics & Drawing ,
ME 201,Solid Mechanics ,
ME 202,Strength of Materials ,
ME 203,Fluid Mechanics I ,
ME 205,Energy Conversion ,
ME 206,Manufacturing Processes I ,
ME 209,Thermodynamics ,Abhijeet  KumarAnkit  JainDipanshu  Bansal
ME 213,Manufacturing Practice Lab ,
ME 218,Solid Mechanics Lab ,Nitesh  YelveV. Kartik
ME 219,Fluid Mechanics ,
ME 220,Theory of Machines and Machine Design ,
ME 221,Structural Materials ,Pradeep DixitSoham Mujumdar
ME 223,Solid Mechanics and Strength of Materials ,Darshan Sunil ShahD.N. PawaskarR. Ganesh
ME 224,Fluid Mechanics Lab ,
ME 226,Mechanical Measurements ,
ME 228,Applied Data Science and Machine Learning ,
ME 230,Mechanical Processing of Materials ,
ME 232,Kinematics and Dynamics of Machines ,
ME 306,Applied Thermodynamics ,M.D.AtreyShankar KrishnanUpendra Bhandarkar
ME 307,Mechanical Measurements Lab ,
ME 308,Industrial Engineering and  Operations Research I ,
ME 310,Microprocessors and Automatic Control Lab ,
ME 311,Microprocessors and Automatic Control ,Abhishek  GuptaVivek Sangwan
ME 312,Operations Modeling and Analysis ,
ME 316,Kinematics and Dynamics of Machines ,
ME 317,Fluid Mechanics Lab ,
ME 323,Thermal and Chemical processing of materials ,Deepak MarlaGurminder  Singh
ME 338,Manufacturing Processes II ,
ME 346,Heat Transfer ,Arunkumar SridharanPrabhu S VSandip  Kumar Saha
ME 370,Kinematics and Dynamics of Machines Lab ,
ME 372,Heat Transfer and Metrology Lab ,
ME 374,Manufacturing Processes Lab ,Amol A. GokhaleAsim TewariDe AmitavaGurminder  SinghPradeep DixitShyamprasad KaragaddeSushil Mishra
ME 401,Microprocessors and Automatic Control ,
ME 407,Industrial Engineering and  Operations Research I ,
ME 409,Intelligent Manufacturing Systems Lab ,Asim TewariDeepak MarlaMakarand S. KulkarniShyamprasad KaragaddeSoham MujumdarSushil Mishra
ME4101,Design of Welded Structures ,
ME 412,CFD and HT Lab ,
ME 415,Computational Fluid Dynamics and Heat Transfer ,
ME 420,Cryogenic Engineering I ,
ME 422,Analytical Combustion ,
ME 423,Machine Design ,R.K.SinghSalil Kulkarni
ME 426,Fire Dynamics ,
ME 434,Finite Element and Boundary Element Methods ,
ME 438,Introduction to modeling of materials from atomistics to continuum ,Amit  Singh
ME 439,Cryogenic Engineering II ,
ME 441,Applied Thermodynamics Lab ,Abhijeet  KumarArunkumar SridharanDipanshu  BansalNeeraj KumbhakarnaRane MilindShankar KrishnanSreedhara SheshadriSridhar Balasubramanian
ME 445,Fuels and Combustion ,
ME 456,Automobile Engineering (Transmission) ,
ME 459,Combustion & Emissions in IC Engines ,
ME 473,Advanced Computer Aided Solutions ,
ME 477,Introduction to Optimization ,
ME 478,Management Principles and Practice ,
ME 480,Two Phase flow and Heat Transfer ,
ME 593,Dual Degree Project I ,Nitesh  Yelve
ME 594,Dual Degree Project II ,
ME 601,Stress Analysis ,Tanmay  K. Bhandakkar
ME 602,"Fatigue, Fracture and Failure Analysis ",
ME 603,Kinematics and Dynamics of Machinery ,
ME 604,Robotics ,
ME 606,Computer Aided Design of Machines ,
ME 610,Applied Tribology ,
ME6101,Lattice Dynamics and Thermal Energy Transport ,
ME6102,Design of Mechatronic Systems ,Gandhi Prasanna S.
ME6106,Computational Structural Dynamics ,
ME6108,"Quality Measurement, Monitoring and Improvement ",
ME 611,Machine Tool Design ,
ME6110,Nanomanufacturing Processes ,Rakesh G. Mote
ME6112,Acoustics and hearing ,
ME6119,Vibration and Control ,Gandhi Prasanna S.Nitesh  Yelve
ME 613,Finite Element and Boundary Element Methods ,Seshu P.
ME 615,Machinery Vibration and Diagnostics ,
ME 616,Fracture Mechanics ,
ME 617,Rapid Product Development ,Karunakaran K.P.
ME 618,Pressure Vessel Design ,
ME 619,Experimental  Methods in Thermal and Fluids Engg. ,
ME 621,Mathematical Methods for Mechanics and Dynamics ,
ME 623,Cryogenic Engineering II ,
ME 630,Knowledge Based systems in Manufacturing ,
ME 636,Advanced Joining Technology ,
ME 637,Manufacturing Automation ,
ME 639,Linear Systems Theory ,
ME 642,Advanced Tool Design ,
ME 643,Materials Processing and Simulation Laboratory ,
ME 645,"MEMS - Design, Fabrication, and Characterisation ",
ME 647,Automatic Control Engineering ,
ME 649,Advanced Manufacturing Processes I ,
ME 651,Fluid Dynamics ,Amit Agrawal
ME 653,Boundary Layer Theory ,
ME 654,Non-Newtonian Fluid Mechanics & Industrial Applications ,
ME 655,Theory and Design of Fluid Machinery ,
ME 657,Thermal and Fluids Engg Laboratory ,
ME 659,Advanced Manufacturing Processes II ,
ME 660,Numerical Methods in Fluid Flow Problems ,
ME 661,Advanced Thermodynamics & Combustion ,Sreedhara Sheshadri
ME 662,Convective Heat and Mass Transfer ,Avishek  Ranjan
ME 663,Advanced Heat Transfer ,Atul Srivastava
ME 664,Advanced Finite Element and Boundary Element Methods ,
ME 665,Conduction and  Radiation Heat Transfer ,
ME 666,Design of Heat-Exchange Equipment ,
ME 667,Industrial Noise Control ,
ME 669,Design for Manufacturing ,
ME 670,Non-Linear System Analysis and Control ,
ME 671,Spark Ignition Engines ,
ME 673,Mathematical Methods in Engineering ,Alankar AlankarVedula R.P.
ME 674,Compression Ignition Engines ,
ME 675,Theory of Plasticity ,
ME 676,Collaborative Engineering ,
ME 677,Laser Material Processing ,
ME 678,Fundamentals of Gas Dynamics ,
ME 679,Micromechanics of Composites ,
ME 680,Two Phase Flow and Heat Transfer ,
ME 681,Thermal Environmental Engg ,Rane Milind
ME 683,Cryogenic Engineering - I ,
ME 684,Airconditioning System Design ,
ME 685,Analytical Combustion ,
ME 687,Fire Dynamics ,
ME 694,Seminar ,
ME 695,Introduction to Nuclear Engineering ,
ME 698,III Stage Project ,
ME 699,Magnetohydrodynamics and its engineering applications ,
ME 701,Optimization Methods in Engineering Design ,
ME 702,Experimental Engineering Project ,
