Course Code,Course Name,Instructor Name
BB 553,Bioinformatics ,Prasenjit  Bhaumik
BB 555,Bioprocess Engineering and Technology Lab ,
BB 557,Bioinformatics - II Lab ,
BB 591,Project Stage I ,
BB 592,Project Stage II ,
BB 600,Introduction to Biomedical Engineering ,Hari M. Varma
BB 601,Introduction to Bio-nanotechnology ,R. Srivastava
BB 602,Research philosophy ,
BB 603,Physiology for Engineers ,Nivethida  ThirugnanasambandamVivek P. Soni
BB 604,Biomathematics ,
BB 606,Cellular Electricity: Physics & Modeling  ,
BB 607,Proteomics- Principles and Techniques ,S. Srivastava
BB 608,Advannced Biomaterials and Regeneratiion  ,
BB 610,Biomedical Microsystems ,
BB 612,Cell Mechanics and Mechanobiology ,
BB 614,Biosensors ,
BB 616,Cellular and Tissue Engineering ,
BB 617,Biophysical Chemistry ,Ashutosh KumarSamir Maji
BB 618,Medical Instrumentation ,
BB 619,Mathematics for Biologists ,Sandip Laxman Kaledhonkar
BB 620,Ergonomics ,
BB 621,Biostatistics ,
BB 622,Introduction to Medical Informatique ,
BB 624,Microfluidics: physics and applications ,
BB 625,Motor Control in Health and Disease  ,
BB 626,Modeling Biological Systems and Processes ,
BB 627,Medical Imaging Methods ,
BB 628,Molecular Cell Signaling ,
BB 629,Applied Immunology ,
BB 632,Topics in Biotechnology II ,
BB 633,Movement Neuroscience ,Neeta Kanekar
BB 638,Topics in Evolution ,Kiran Kondabagilu
BB 642,Protein Crystallography ,
BB 651,Virtual Instrumentation in Biomedical Engineering  ,
BB 653,Experimental Techniques in Biomedical Engineering ,Ambarish KunwarDebjani  PaulHari M. VarmaNivethida  Thirugnanasambandam
BB 661,Biopotentials I: Cellular Signals ,Manchanda Rohit
BB 663,Medical Imaging Physics ,Debjani  Paul
BB 665,Biomaterials  ,
BB 669,Signals & Systems in Biomedical Engineering ,Ambarish Kunwar
BB 671,Biopotentials II: Clinical Signals ,
BB 673,Medical Sensors ,
BB 675,Elements of Circuits and Instrumentation ,
BB 677,Introduction to Biomechanics ,Shamik Sen
BB 679,Drug Delivery ,
BB 694,Seminar  ,
BB 701,Research Proposal ,Sushil  Kumar
BB 702,Technology in Surgical Reconstruction ,
BB 703,Cancer Genetics and Metabolism ,
BB 704,Diffuse Optical Imaging ,
BB 705,Fundamental Concepts in Developmental Biology ,Sreelaja  Nair
BB 706,Fundamental and Practical Aspects of Microscopy ,Roop  Mallik
BB 792,Communication Skills -II ,
BB 797,I Stage Project ,Shamik Sen
BB 798,II Stage Project ,Shamik Sen
BB 899,Communication Skills ,Ambarish KunwarDebjani  PaulP.V.BalajiRajesh  PatkarSandeep Kumar  KalvaShamik SenSreelaja  NairSwapnil Rohidas Shinde
BBS802,Seminar ,
BM 600,Introduction to Biomedical Engineering ,
BM 601,Biomathematics ,
BM 602,Biostatistics ,
BM 603,Physiology for Engineers ,
BM 604,Clinical Physiology ,
BM 606,Lasers in Medicine ,
BM 607,Physiological Measurements and Quantitative Physiology ,
BM 610,Experimental and Quantitative Physiology ,
BM 611,Medical Physics ,
BM 612,Computer in Medicine ,
BM 618,Biomedical Fluid Dynamics ,
BM 624,Bioelectricity ,
BM 626,Biorheology ,
BM 627,Virtual Instrumentation in Biomedical Engineering ,
BM 628,Introduction to Medical Informatique ,
BM 630,Molecular Basis of Disease Processes ,
BM 631,Introduction to Bio-Nanotechnology ,
BM 632,Medical Instrumentation ,
BM 633,Introduction to Biomechanics ,
BM 634,Physiological System Modelling ,
BM 636,Bioelectricity ,
BM 638,Biomedical Fluid Dynamics ,
BM 640,Ergonomics ,
BM 651,Cell Physiology and Biopotentials ,
BM 653,Medical Imaging Physics ,
BM 655,Biomaterials ,
BM 656,Advanced Biomaterials ,
BM 658,Biomedical Microsystems ,
BM 659,Elements of Circuits and Instrumentation ,Ambarish Kunwar
BM 661,Signals and Systems for Biomedical Engineering ,
BM 663,"Electrodiagnostics, Therapy and Electrical Safety ",
BM 665,Medical Sensors ,
BM 694,Seminar ,
BM 695,Credit Seminar ,
BM 696,I Stage Project ,
BM 697,II Stage Project ,
BM 698,III Stage Project ,
